;force
271,5;-8184,325396781713
272,0;-8187,954081880517
272,5;-8193,89684159568
273,0;-8186,01855805662
273,5;-8184,636041039551
274,0;-8179,411364789968
274,5;-8159,565023491203
275,0;-8155,392710941181
275,5;-8141,510514288371
276,0;-8136,431593224985
276,5;-8137,118724817051
277,0;-8141,674840598677
277,5;-8155,392710941181
278,0;-8155,110429854711
278,5;-8128,52442127064
279,0;-8104,82973036466
279,5;-8113,310543708175
280,0;-8136,398390306124
280,5;-8114,0698963384475
281,0;-8097,500326715957
281,5;-8108,377377830984
282,0;-8123,793228994204
282,5;-8125,437487751932
283,0;-8126,009816031318
283,5;-8118,164922998232
284,0;-8111,812473029978
284,5;-8111,812473029978
285,0;-8108,530448914557
285,5;-8103,616416922814
286,0;-8103,420388390543
286,5;-8094,446408528998
287,0;-8082,321527943475
287,5;-8097,11033310965
288,0;-8098,75641001939
288,5;-8082,987837366084
289,0;-8079,320884496387
289,5;-8071,329673515769
290,0;-8071,5440855850375
290,5;-8072,590258909895
291,0;-8068,471596273969
291,5;-8061,571391938029
292,0;-8070,980761487039
292,5;-8071,512008188848
293,0;-8064,740863786116
293,5;-8057,473363884446
294,0;-8042,5568118948495
294,5;-8037,084174342467
295,0;-8035,027065210295
295,5;-8032,897576312362
296,0;-8028,910975003439
296,5;-8029,397200798316
297,0;-8026,088164138735
297,5;-8020,071119927132
298,0;-8023,929786825521
298,5;-8025,063938506009
299,0;-8016,728317587353
299,5;-8016,728317587353
300,0;-8012,813937316636
300,5;-8003,6625000469285
301,0;-8004,746003207118
301,5;-8001,490472163855
302,0;-7991,512107614146
302,5;-7991,1001663157085
303,0;-7994,641060645993
303,5;-7992,387764253994
304,0;-7999,067178558851
304,5;-8001,601292857846
305,0;-7991,360162053246
305,5;-7986,568812032895
306,0;-7986,731825233416
306,5;-7976,056430264026
307,0;-7972,826180191579
307,5;-7972,163333915656
308,0;-7966,313906003711
308,5;-7966,429459664839
309,0;-7971,740801160267
309,5;-7966,747232232941
310,0;-7960,556857529646
310,5;-7947,623476490449
311,0;-7942,121921663231
311,5;-7943,525073262645
312,0;-7956,830251958262
312,5;-7945,635991036467
313,0;-7939,468631828864
313,5;-7939,125780306836
314,0;-7929,232436008295
314,5;-7939,245085710208
315,0;-7939,7178052330055
315,5;-7930,700680335651
316,0;-7911,442424633696
316,5;-7931,639553832316
317,0;-7932,422167264502
317,5;-7919,361977337446
318,0;-7917,137569360729
318,5;-7906,539647868685
319,0;-7906,062989016531
319,5;-7918,272096215442
320,0;-7918,9603966195145
320,5;-7908,399011325021
321,0;-7890,816096122314
321,5;-7885,857605984975
322,0;-7887,810950584532
322,5;-7903,588902593449
323,0;-7890,215067014758
323,5;-7882,141317704762
324,0;-7879,252476176557
324,5;-7878,831530696733
325,0;-7879,344769035771
325,5;-7880,05159727462
326,0;-7872,947817632584
326,5;-7860,015042644059
327,0;-7875,290636366448
327,5;-7879,450568167063
328,0;-7870,889279952406
328,5;-7857,363311225703
329,0;-7842,157499909061
329,5;-7838,420764633617
330,0;-7850,324855188056
330,5;-7850,69008729555
331,0;-7839,829919020621
331,5;-7839,066627060994
332,0;-7847,689819022687
332,5;-7850,727229543771
333,0;-7850,727229543771
333,5;-7835,28505846573
334,0;-7820,291220585899
334,5;-7823,283235025826
335,0;-7827,08412509365
335,5;-7801,228993416216
336,0;-7799,7291540595315
336,5;-7803,538565941883
337,0;-7811,428479881902
337,5;-7804,757506997095
338,0;-7796,918241577376
338,5;-7782,311208322945
339,0;-7774,511336196791
339,5;-7780,2807654202625
340,0;-7783,909450519068
340,5;-7775,652428600431
341,0;-7776,415720560059
341,5;-7782,756915301581
342,0;-7777,290338255902
342,5;-7775,2294196623725
343,0;-7771,734238868356
343,5;-7763,573506857404
344,0;-7754,974513633189
344,5;-7750,282209608091
345,0;-7746,652398986613
345,5;-7744,648968628091
346,0;-7748,32192428538
346,5;-7741,120455047211
347,0;-7732,092637684461
347,5;-7736,372913832453
348,0;-7737,148485533043
348,5;-7730,303056633871
349,0;-7723,468363489429
349,5;-7713,2356308155495
350,0;-7708,819079845415
350,5;-7718,754631244204
351,0;-7709,7600168003155
351,5;-7703,565140006327
352,0;-7703,6686880922725
352,5;-7702,537912979804
353,0;-7695,868815966121
353,5;-7698,023066362867
354,0;-7691,762909253824
354,5;-7674,389168111023
355,0;-7668,356539739326
355,5;-7667,942347395542
356,0;-7657,909438285509
356,5;-7653,981364155599
357,0;-7644,216329441819
357,5;-7636,622803139109
358,0;-7642,879208505907
358,5;-7644,905149317894
359,0;-7638,013573989117
359,5;-7630,894643080325
360,0;-7626,026532413654
360,5;-7624,041898283778
361,0;-7608,3076540720085
361,5;-7596,8881010284385
362,0;-7605,4893452979995
362,5;-7618,270780776295
363,0;-7620,618621072855
363,5;-7608,138825671011
364,0;-7598,0608956540445
364,5;-7595,812101352738
365,0;-7600,809422022308
365,5;-7596,9511302981455
366,0;-7582,431887812231
366,5;-7567,691869725014
367,0;-7559,012012025654
367,5;-7562,272276036057
368,0;-7563,000676792813
368,5;-7548,64369715897
369,0;-7538,497110258932
369,5;-7535,880270043447
370,0;-7534,2071805895475
370,5;-7550,01533412353
371,0;-7546,061748146359
371,5;-7528,773719884063
372,0;-7523,726876216868
372,5;-7528,613895664452
373,0;-7529,100121459329
373,5;-7528,223945347478
374,0;-7521,595136273588
374,5;-7512,010877816875
375,0;-7512,208277178044
375,5;-7522,19166329045
376,0;-7513,063674409772
376,5;-7501,367242788563
377,0;-7493,38165942131
377,5;-7478,945705613225
378,0;-7476,407651984873
378,5;-7476,407651984873
379,0;-7475,63623606031
379,5;-7471,919630324985
380,0;-7478,97294326192
380,5;-7482,3669193659125
381,0;-7482,904168855313
381,5;-7484,727515586103
382,0;-7482,796118678675
382,5;-7479,690614035855
383,0;-7480,187157121904
383,5;-7480,113622973914
384,0;-7469,317609491364
384,5;-7455,929892466371
385,0;-7454,233729797668
385,5;-7450,774998622534
386,0;-7453,398505395392
386,5;-7456,0987208673705
387,0;-7450,970839567694
387,5;-7446,817660903119
388,0;-7444,118657532481
388,5;-7429,5251305501315
389,0;-7424,11136649143
389,5;-7423,58687292566
390,0;-7416,631142804502
